TreeID,Tree_X,Tree_Y,Trunk_Diameter,Cohort
P1-T020,674394.5,5636242.3,60,2
P1-T004,674399,5636244,60,2
P1-T061,674394.5,5636232.6,100,2
P1-T019,674395.2,5636242.3,60,2
P1-T025,674388.3,5636245,150,3
P1-T021,674393.4,5636242.3,60,2
P1-T001,674400,5636235,600,4
P1-T022,674392.5,5636240.1,60,2
P1-T008,674400,5636248,200,3
P1-T038,674389.5,5636236.5,50,1
P1-T023,674389.9,5636241.8,40,1
P1-T026,674387.3,5636245,180,3
P1-T005,674405.3,5636242,180,3
P1-T041,674388,5636234,50,1
P1-T049,674390,5636231,70,2
P1-T079,674392.7,5636236.8,30,1
P1-T062,674394.9,5636231.7,50,1
P1-T081,674395.95,5636237.15,20,1
P1-T042,674383,5636233,40,1
P1-T037,674386.5,5636235,80,2
P1-T036,674384,5636239,180,3
P1-T035,674386,5636234,20,1
P1-T048,674388,5636230,30,1
P1-T033,674391,5636226,60,2
P1-T057,674384.5,5636240.5,50,1
P1-T080,674392.6,5636236.7,30,1
