Node,Eigenvector Centrality
P1-T020,0.22360679774996778
P1-T004,0.22360679774996778
P1-T061,0.22360679774996778
P1-T019,0.22360679774996778
P1-T025,0.22360679774996778
P1-T021,0.22360679774996778
P1-T001,0.22360679774996778
P1-T022,0.22360679774996778
P1-T008,0.22360679774996778
P1-T038,0.22360679774996778
P1-T023,0.22360679774996778
P1-T005,0.22360679774996778
P1-T049,0.22360679774996778
P1-T079,0.22360679774996778
P1-T062,0.22360679774996778
P1-T081,0.22360679774996778
P1-T042,0.22360679774996778
P1-T037,0.22360679774996778
P1-T036,0.22360679774996778
P1-T035,0.22360679774996778
P1-T048,3.493856214843247e-09
P1-T033,2.2360679774996782e-07
P1-T057,2.2360679774996782e-07
